Node-Id,Node-Title,authorityCentrality-1-Meta Network,authorityCentrality-1-Meta Network-unscaled,authorityCentrality-2-Meta Network,authorityCentrality-2-Meta Network-unscaled,betweennessCentrality-1-Meta Network,betweennessCentrality-1-Meta Network-unscaled,betweennessCentrality-2-Meta Network,betweennessCentrality-2-Meta Network-unscaled,betweennessCentrality-3-Meta Network,betweennessCentrality-3-Meta Network-unscaled,bonacichPowerCentrality-1-Meta Network,bonacichPowerCentrality-1-Meta Network-unscaled,bonacichPowerCentrality-2-Meta Network,bonacichPowerCentrality-2-Meta Network-unscaled,closenessCentrality-1-Meta Network,closenessCentrality-1-Meta Network-unscaled,closenessCentrality-2-Meta Network,closenessCentrality-2-Meta Network-unscaled,closenessCentrality-3-Meta Network,closenessCentrality-3-Meta Network-unscaled,contributionCentrality-1-Meta Network,contributionCentrality-1-Meta Network-unscaled,contributionCentrality-2-Meta Network,contributionCentrality-2-Meta Network-unscaled,eccentricityCentrality-1-Meta Network,eccentricityCentrality-2-Meta Network,eccentricityCentrality-3-Meta Network,egoBetweennessCentrality-1-Meta Network,egoBetweennessCentrality-2-Meta Network,eigenvectorCentrality-1-Meta Network,eigenvectorCentrality-1-Meta Network-unscaled,eigenvectorCentrality-2-Meta Network,eigenvectorCentrality-2-Meta Network-unscaled,exponentialRankCentrality-1-Meta Network,exponentialRankCentrality-1-Meta Network-unscaled,exponentialRankCentrality-2-Meta Network,exponentialRankCentrality-2-Meta Network-unscaled,hubCentrality-1-Meta Network,hubCentrality-1-Meta Network-unscaled,hubCentrality-2-Meta Network,hubCentrality-2-Meta Network-unscaled,inClosenessCentrality-1-Meta Network,inClosenessCentrality-1-Meta Network-unscaled,inClosenessCentrality-2-Meta Network,inClosenessCentrality-2-Meta Network-unscaled,inClosenessCentrality-3-Meta Network,inClosenessCentrality-3-Meta Network-unscaled,inDegreeCentrality-1-Meta Network,inDegreeCentrality-1-Meta Network-unscaled,inDegreeCentrality-2-Meta Network,inDegreeCentrality-2-Meta Network-unscaled,inDegreeCentrality-3-Meta Network,inDegreeCentrality-3-Meta Network-unscaled,inDegreeCentrality-4-Meta Network,inDegreeCentrality-4-Meta Network-unscaled,inInverseClosenessCentrality-1-Meta Network,inInverseClosenessCentrality-1-Meta Network-unscaled,inInverseClosenessCentrality-2-Meta Network,inInverseClosenessCentrality-2-Meta Network-unscaled,inInverseClosenessCentrality-3-Meta Network,inInverseClosenessCentrality-3-Meta Network-unscaled,informationCentrality-1-Meta Network,informationCentrality-1-Meta Network-unscaled,inverseClosenessCentrality-1-Meta Network,inverseClosenessCentrality-1-Meta Network-unscaled,inverseClosenessCentrality-2-Meta Network,inverseClosenessCentrality-2-Meta Network-unscaled,inverseClosenessCentrality-3-Meta Network,inverseClosenessCentrality-3-Meta Network-unscaled,katzCentrality-1-Meta Network,katzCentrality-1-Meta Network-unscaled,katzCentrality-2-Meta Network,katzCentrality-2-Meta Network-unscaled,outDegreeCentrality-1-Meta Network,outDegreeCentrality-1-Meta Network-unscaled,outDegreeCentrality-2-Meta Network,outDegreeCentrality-2-Meta Network-unscaled,outDegreeCentrality-3-Meta Network,outDegreeCentrality-3-Meta Network-unscaled,outDegreeCentrality-4-Meta Network,outDegreeCentrality-4-Meta Network-unscaled,pageRankCentrality-1-Meta Network,pageRankCentrality-2-Meta Network,potentialBoundarySpanner-1-Meta Network,potentialBoundarySpanner-2-Meta Network,radialityCentrality-1-Meta Network,radialityCentrality-1-Meta Network-unscaled,radialityCentrality-2-Meta Network,radialityCentrality-2-Meta Network-unscaled,radialityCentrality-3-Meta Network,radialityCentrality-3-Meta Network-unscaled,totalDegreeCentrality-1-Meta Network,totalDegreeCentrality-1-Meta Network-unscaled,totalDegreeCentrality-2-Meta Network,totalDegreeCentrality-2-Meta Network-unscaled,totalDegreeCentrality-3-Meta Network,totalDegreeCentrality-3-Meta Network-unscaled,totalDegreeCentrality-4-Meta Network,totalDegreeCentrality-4-Meta Network-unscaled,
10,10,0,0,1.410e-06,0,0,0,0,0,3.909e-05,318.572,7.002e-06,0.008,0,0.007,0.002,0,0.002,0,2.549e-06,0,6.128e-05,4.333e-05,2.331e-05,1.648e-05,11,11,8,0,0.016,0,0,1.410e-06,0,0.506,2.340e-04,0.993,2.475e-04,1.410e-06,0,1.410e-06,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,6.884e-05,290,0.027,109,2.476e-04,1,2.476e-04,1,0.228,920.143,2.696e-04,3.404,0.168,676.714,0.168,676.714,0.228,920.143,0.003,0.003,0.005,0.007,0.002,9,0.002,9,6.884e-05,290,0.027,109,5.659e-05,8.988e-05,0,8.883e-06,0.867,14144430,0.867,14144430,0.907,15426806784.000,0.001,10,0.001,10,6.884e-05,290,0.027,109,
11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.476e-04,0,2.476e-04,0,0,0,5.438e-05,3.845e-05,0,0,0,0,0,0,0,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,0,0,0,0,2.476e-04,1,2.476e-04,1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,5.659e-05,0,0,0,0,0,0,0,0,0,1.238e-04,1,1.238e-04,1,0,0,0,0,
12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.476e-04,0,2.476e-04,0,0,0,5.438e-05,3.845e-05,0,0,0,0,0,0,0,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,0,0,0,0,2.476e-04,1,2.476e-04,1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,5.659e-05,0,0,0,0,0,0,0,0,0,1.238e-04,1,1.238e-04,1,0,0,0,0,
13,13,0,0,0,0,0,0,0,0,7.234e-04,5895.998,2.383e-05,0.028,0,0.016,0.002,0,0.002,0,2.549e-06,0,6.966e-05,4.926e-05,1.451e-05,1.026e-05,10,10,7,0,0.006,1.548e-06,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,1.595e-04,672,0.031,125,2.476e-04,1,2.476e-04,1,0.272,1096.732,3.667e-04,4.629,0.197,795.521,0.197,795.521,0.272,1096.731,0.003,0.003,0.011,0.016,0.007,30,0.007,30,1.595e-04,672,0.031,125,5.659e-05,2.057e-04,0,7.095e-05,0.879,14336787,0.879,14336787,0.907,15426809856.000,0.004,31,0.004,31,1.595e-04,672,0.031,125,
14,14,0,0,0,0,0,0,0,0,1.213e-06,9.886,1.044e-05,0.012,0,0.003,2.496e-04,0,2.496e-04,0,2.549e-06,0,5.757e-05,4.071e-05,0,0,3,3,9,0,0.023,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,3.371e-05,142,0.008,31,2.476e-04,1,2.476e-04,1,0.169,681.488,3.117e-04,3.935,0.006,22.667,0.006,22.667,0.169,681.487,0.003,0.003,0.002,0.003,0.003,14,0.003,14,3.371e-05,142,0.008,31,5.659e-05,4.757e-05,0,0,0.008,133230,0.008,133230,0.907,15426802688.000,0.002,15,0.002,15,3.371e-05,142,0.008,31,
15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.476e-04,0,2.476e-04,0,0,0,5.438e-05,3.845e-05,0,0,0,0,0,0,0,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,0,0,0,0,2.476e-04,1,2.476e-04,1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,5.659e-05,0,0,0,0,0,0,0,0,0,1.238e-04,1,1.238e-04,1,0,0,0,0,
16,16,0,0,0,0,0,0,0,0,5.517e-05,449.684,6.107e-06,0.007,0,0.004,0.002,0,0.002,0,2.549e-06,0,5.928e-05,4.192e-05,1.378e-06,0,11,11,8,0,0.065,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,3.727e-05,157,0.021,86,2.476e-04,1,2.476e-04,1,0.236,954.910,2.575e-04,3.250,0.150,607.709,0.150,607.709,0.236,954.910,0.003,0.003,0.003,0.004,0.002,8,0.002,8,3.727e-05,157,0.021,86,5.659e-05,4.813e-05,0,2.316e-05,0.874,14243703,0.874,14243703,0.907,15426807808.000,0.001,9,0.001,9,3.727e-05,157,0.021,86,
17,17,0,0,0,0,0,0,0,0,0,2.688,8.983e-06,0.011,0,0.003,2.526e-04,0,2.526e-04,0,2.549e-06,0,5.793e-05,4.096e-05,0,0,6,6,9,0,0.007,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,2.801e-05,118,0.007,29,2.476e-04,1,2.476e-04,1,0.168,679.821,2.978e-04,3.759,0.009,35.783,0.009,35.783,0.168,679.821,0.003,0.003,0.002,0.003,0.003,12,0.003,12,2.801e-05,118,0.007,29,5.659e-05,3.941e-05,0,0,0.020,322887,0.020,322887,0.907,15426802688.000,0.002,13,0.002,13,2.801e-05,118,0.007,29,
18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.476e-04,0,2.476e-04,0,0,0,5.438e-05,3.845e-05,0,0,0,0,0,0,0,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,0,0,0,0,2.476e-04,1,2.476e-04,1,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,5.659e-05,0,0,0,0,0,0,0,0,0,1.238e-04,1,1.238e-04,1,0,0,0,0,
19,19,0,0,0,0,2.972e-06,48.444,2.972e-06,48.444,4.055e-04,3305.032,1.034e-05,0.012,0,0.003,2.525e-04,0,2.525e-04,0,2.549e-06,0,6.140e-05,4.342e-05,0,0,5,5,9,0.036,0.478,0,0,0,0,0.507,2.346e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,4.953e-04,2,4.953e-04,2,2.659e-05,112,0.011,45,4.953e-04,2,4.953e-04,2,0.185,745.610,3.117e-04,3.935,0.010,39.617,0.010,39.617,0.185,745.609,0.005,0.006,0.002,0.003,0.003,14,0.003,14,2.659e-05,112,0.011,45,6.129e-05,3.678e-05,1.753e-05,2.386e-04,0.020,318889,0.020,318889,0.907,15426803712.000,0.002,16,0.002,16,2.659e-05,112,0.011,45,
20,20,0,0,0,0,0,11.667,0,11.667,0,2.191,8.910e-06,0.010,0,0.003,2.495e-04,0,2.495e-04,0,2.549e-06,0,5.789e-05,4.093e-05,0,0,3,3,9,0.027,0.008,0,0,0,0,0.508,2.351e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,7.429e-04,3,7.429e-04,3,2.920e-05,123,0.007,28,7.429e-04,3,7.429e-04,3,0.169,680.505,2.978e-04,3.759,0.005,20.833,0.005,20.833,0.169,680.504,0.008,0.009,0.002,0.003,0.003,12,0.003,12,2.920e-05,123,0.007,28,6.689e-05,4.133e-05,4.504e-06,0,0.008,125155,0.008,125155,0.907,15426802688.000,0.002,15,0.002,15,2.920e-05,123,0.007,28,
21,21,0,0,3.657e-06,2.586e-06,3.197e-05,521.207,3.197e-05,521.207,5.143e-05,419.195,4.844e-05,0.057,0,0.029,0.002,0,0.002,0,2.549e-06,0,1.024e-04,7.238e-05,5.852e-05,4.138e-05,10,10,8,0.008,0.004,3.670e-05,2.595e-05,3.657e-06,2.586e-06,0.508,2.351e-04,0.993,2.476e-04,3.657e-06,2.586e-06,3.657e-06,2.586e-06,2.063e-05,0,2.063e-05,0,0,0,7.429e-04,3,7.429e-04,3,2.887e-04,1216,0.040,161,8.668e-04,3.500,8.668e-04,3.500,0.234,945.176,3.984e-04,5.030,0.220,890.021,0.220,890.021,0.234,945.176,0.008,0.009,0.020,0.029,0.015,62,0.015,62,2.887e-04,1216,0.040,161,5.956e-05,3.694e-04,4.644e-05,2.788e-06,0.879,14333606,0.879,14333606,0.907,15426807808.000,0.008,65,0.008,65,2.887e-04,1216,0.040,161,
22,22,0,0,2.054e-06,1.452e-06,0,4.026,0,4.026,6.547e-05,533.608,6.734e-06,0.008,0,0.004,3.178e-04,0,3.178e-04,0,2.549e-06,0,6.082e-05,4.300e-05,3.335e-05,2.358e-05,7,7,8,0.032,0.051,1.456e-06,0,2.054e-06,1.452e-06,0.507,2.346e-04,0.993,2.475e-04,2.054e-06,1.452e-06,2.054e-06,1.452e-06,2.063e-05,0,2.063e-05,0,0,0,4.953e-04,2,4.953e-04,2,3.751e-05,158,0.020,82,4.953e-04,2,4.953e-04,2,0.236,952.010,2.696e-04,3.404,0.061,247.064,0.061,247.064,0.236,952.010,0.005,0.006,0.003,0.004,0.002,9,0.002,9,3.751e-05,158,0.020,82,5.956e-05,4.748e-05,2.120e-06,2.731e-05,0.221,3603420,0.221,3603420,0.907,15426807808.000,0.001,11,0.001,11,3.751e-05,158,0.020,82,
23,23,0,0,0,0,0,0,0,0,0.003,28466.467,1.177e-05,0.014,0,0.002,2.558e-04,0,2.558e-04,0,2.549e-06,0,6.241e-05,4.413e-05,0,0,7,7,8,0,0.779,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,1.947e-05,82,0.008,34,2.476e-04,1,2.476e-04,1,0.214,863.743,3.231e-04,4.079,0.013,53.410,0.013,53.410,0.214,863.743,0.003,0.003,0.001,0.002,0.004,16,0.004,16,1.947e-05,82,0.008,34,5.659e-05,2.381e-05,0,0.003,0.032,520634,0.032,520634,0.907,15426805760.000,0.002,17,0.002,17,1.947e-05,82,0.008,34,
24,24,0,0,0,0,0,0,0,0,2.344e-06,19.108,1.136e-05,0.013,0,0.004,0.002,0,0.002,0,2.549e-06,0,5.689e-05,4.023e-05,0,0,9,9,8,0,0.021,0,0,0,0,0.506,2.340e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,2.476e-04,1,2.476e-04,1,3.869e-05,163,0.009,36,2.476e-04,1,2.476e-04,1,0.216,873.672,3.177e-04,4.011,0.162,653.802,0.162,653.802,0.216,873.671,0.003,0.003,0.003,0.004,0.004,15,0.004,15,3.869e-05,163,0.009,36,5.659e-05,4.840e-05,0,0,0.869,14169205,0.869,14169205,0.907,15426806784.000,0.002,16,0.002,16,3.869e-05,163,0.009,36,
25,25,0,0,2.970e-06,2.100e-06,4.627e-05,754.204,4.627e-05,754.204,1.833e-04,1493.817,5.005e-05,0.059,0,0.027,0.002,0,0.002,0,2.549e-06,0,9.233e-05,6.529e-05,4.797e-05,3.392e-05,10,10,8,0.012,0.016,2.942e-06,2.081e-06,2.970e-06,2.100e-06,0.510,2.357e-04,0.993,2.476e-04,2.970e-06,2.100e-06,2.970e-06,2.100e-06,2.063e-05,0,2.063e-05,0,0,0,9.906e-04,4,9.906e-04,4,2.671e-04,1125,0.039,158,0.001,4.500,0.001,4.500,0.235,948.510,3.999e-04,5.049,0.202,815.438,0.202,815.438,0.235,948.510,0.010,0.013,0.019,0.027,0.016,65,0.016,65,2.671e-04,1125,0.039,158,6.216e-05,3.396e-04,6.330e-05,1.074e-05,0.877,14300535,0.877,14300535,0.907,15426807808.000,0.009,69,0.009,69,2.671e-04,1125,0.039,158,
